grp in,advid,count(),SQ,JDQ,full-conversion,billing-conversion
dplugin_theseus_iq_utility1,25813963,3,0,1,1,0
dplugin_theseus_iq_utility2,25813968,1,1,0,1,0
dplugin_theseus_iq_utility1,25813972,4,0,1,1,1
dplugin_theseus_iq_utility3,25813973,1,0,0,1,0
dplugin_theseus_iq_utility2,25813974,1,1,0,1,1
dplugin_theseus_iq_utility3,25813975,1,0,0,1,0
dplugin_theseus_iq_utility3,25813985,1,0,0,0,1
dplugin_theseus_iq_utility1,25813999,12,0,1,0,0
dplugin_theseus_iq_utility1,25814010,4,0,1,0,0
dplugin_theseus_iq_utility1,25814015,2,0,1,1,0
dplugin_theseus_iq_utility0,25814022,1,1,1,1,0
dplugin_theseus_iq_utility3,25814036,4,0,0,1,0
dplugin_theseus_iq_utility0,25814040,2,1,1,1,0
dplugin_theseus_iq_utility2,25814055,5,1,0,1,0
dplugin_theseus_iq_utility1,25814056,1,0,1,1,0
dplugin_theseus_iq_utility2,25814059,1,1,0,1,1
dplugin_theseus_iq_utility0,25814065,4,1,1,0,1
dplugin_theseus_iq_utility1,25814082,4,0,1,1,0
dplugin_theseus_iq_utility0,25814094,1,1,1,1,0
dplugin_theseus_iq_utility3,25814098,2,0,0,1,0
dplugin_theseus_iq_utility0,25814099,108,1,1,1,0
dplugin_theseus_iq_utility2,25814121,2,1,0,1,0
dplugin_theseus_iq_utility2,25814122,1,1,0,1,0
dplugin_theseus_iq_utility0,25814136,4,1,1,1,1
dplugin_theseus_iq_utility1,25814138,2,0,1,1,0
dplugin_theseus_iq_utility3,25814141,2,0,0,1,0
dplugin_theseus_iq_utility2,25814142,8,1,0,1,0
dplugin_theseus_iq_utility1,25814144,4,0,1,1,0
dplugin_theseus_iq_utility0,25814150,1,1,1,1,0
dplugin_theseus_iq_utility0,25814157,1,1,1,1,0
dplugin_theseus_iq_utility2,25814163,1,1,0,1,0
dplugin_theseus_iq_utility1,25814169,4,0,1,1,1
dplugin_theseus_iq_utility2,25814174,2,1,0,1,0
dplugin_theseus_iq_utility1,25814182,1,0,1,1,0
dplugin_theseus_iq_utility3,25814213,2,0,0,1,0
dplugin_theseus_iq_utility1,25814217,1,0,1,1,0
dplugin_theseus_iq_utility0,25814220,6,1,1,1,0
dplugin_theseus_iq_utility1,25814224,2,0,1,1,0
dplugin_theseus_iq_utility1,25814231,1,0,1,1,0
dplugin_theseus_iq_utility3,25814239,1,0,0,1,0
dplugin_theseus_iq_utility1,25814258,9,0,1,1,0
dplugin_theseus_iq_utility0,25814261,3,1,1,1,1
dplugin_theseus_iq_utility0,25814263,4,1,1,1,1
dplugin_theseus_iq_utility3,25814276,1,0,0,0,0
dplugin_theseus_iq_utility2,25814290,1,1,0,1,0
dplugin_theseus_iq_utility3,25814293,4,0,0,0,0
dplugin_theseus_iq_utility0,25814301,3,1,1,1,0
dplugin_theseus_iq_utility0,25814310,2,1,1,1,0
dplugin_theseus_iq_utility0,25814312,3,1,1,1,0
dplugin_theseus_iq_utility1,25814322,1,0,1,1,0
dplugin_theseus_iq_utility2,25814325,4,1,0,1,0
dplugin_theseus_iq_utility1,25814331,2,0,1,1,0
dplugin_theseus_iq_utility2,25814332,1,1,0,1,0
dplugin_theseus_iq_utility2,25814337,2,1,0,1,0
dplugin_theseus_iq_utility1,25814343,3,0,1,0,0
dplugin_theseus_iq_utility3,25814349,9,0,0,1,1
dplugin_theseus_iq_utility1,25814356,1,0,1,1,0
dplugin_theseus_iq_utility1,25814357,4,0,1,0,0
dplugin_theseus_iq_utility2,25814358,1,1,0,1,0
dplugin_theseus_iq_utility3,25814363,1,0,0,1,0
dplugin_theseus_iq_utility1,25814377,1,0,1,1,0
dplugin_theseus_iq_utility2,25814412,2,1,0,1,1
dplugin_theseus_iq_utility0,25814420,2,1,1,1,0
dplugin_theseus_iq_utility0,25814432,20,1,1,1,1
dplugin_theseus_iq_utility1,25814436,2,0,1,1,1
dplugin_theseus_iq_utility0,25814442,4,1,1,1,0
dplugin_theseus_iq_utility0,25814445,1,1,1,1,0
dplugin_theseus_iq_utility1,25814448,1,0,1,1,0
dplugin_theseus_iq_utility3,25814453,8,0,0,1,0
dplugin_theseus_iq_utility0,25814463,1,1,1,1,0
dplugin_theseus_iq_utility3,25814467,17,0,0,1,0
dplugin_theseus_iq_utility2,25814469,12,1,0,1,1
dplugin_theseus_iq_utility3,25814472,1,0,0,1,0
dplugin_theseus_iq_utility2,25814484,1,1,0,1,0
dplugin_theseus_iq_utility2,25814485,1,1,0,1,0
dplugin_theseus_iq_utility2,25814493,1,1,0,1,0
dplugin_theseus_iq_utility0,25814494,4,1,1,1,1
dplugin_theseus_iq_utility2,25814496,2,1,0,1,0
dplugin_theseus_iq_utility0,25814498,1,1,1,1,0
dplugin_theseus_iq_utility1,25814500,4,0,1,1,1
dplugin_theseus_iq_utility1,25814501,20,0,1,1,1
dplugin_theseus_iq_utility3,25814516,1,0,0,1,0
dplugin_theseus_iq_utility3,25814522,12,0,0,1,1
dplugin_theseus_iq_utility1,25814523,1,0,1,1,0
dplugin_theseus_iq_utility0,25814525,1,1,1,1,0
dplugin_theseus_iq_utility1,25814535,1,0,1,1,0
dplugin_theseus_iq_utility1,25814538,6,0,1,1,0
dplugin_theseus_iq_utility1,25814540,1,0,1,1,0
dplugin_theseus_iq_utility0,25814553,2,1,1,1,0
dplugin_theseus_iq_utility3,25814557,17,0,0,1,1
dplugin_theseus_iq_utility1,25814560,4,0,1,1,0
dplugin_theseus_iq_utility3,25814561,3,0,0,1,0
dplugin_theseus_iq_utility2,25814563,7,1,0,0,0
dplugin_theseus_iq_utility2,25814570,1,1,0,1,0
dplugin_theseus_iq_utility3,25814571,1,0,0,1,0
dplugin_theseus_iq_utility3,25814572,1,0,0,1,0
dplugin_theseus_iq_utility0,25814573,1,1,1,1,0
dplugin_theseus_iq_utility2,25814577,2,1,0,1,0
dplugin_theseus_iq_utility3,25814591,13,0,0,1,1
dplugin_theseus_iq_utility2,25814599,3,1,0,1,0
dplugin_theseus_iq_utility2,25814600,3,1,0,1,0
dplugin_theseus_iq_utility3,25814605,7,0,0,1,0
dplugin_theseus_iq_utility0,25814609,20,1,1,1,0
dplugin_theseus_iq_utility2,25814638,1,1,0,1,0
dplugin_theseus_iq_utility3,25814641,1,0,0,1,0
dplugin_theseus_iq_utility2,25814664,3,1,0,1,0
dplugin_theseus_iq_utility0,25814665,3,1,1,1,1
dplugin_theseus_iq_utility1,25814670,2,0,1,1,0
dplugin_theseus_iq_utility0,25814671,3,1,1,1,0
dplugin_theseus_iq_utility1,25814687,6,0,1,1,1
dplugin_theseus_iq_utility2,25814693,2,1,0,1,0
dplugin_theseus_iq_utility0,25814697,245,1,1,1,1
dplugin_theseus_iq_utility3,25814701,1,0,0,1,0
dplugin_theseus_iq_utility2,25814704,4,1,0,1,1
dplugin_theseus_iq_utility0,25814712,6,1,1,1,0
dplugin_theseus_iq_utility1,25814714,1,0,1,1,0
dplugin_theseus_iq_utility3,25814726,1,0,0,1,0
dplugin_theseus_iq_utility3,25814729,11,0,0,1,0
dplugin_theseus_iq_utility3,25814735,3,0,0,1,0
dplugin_theseus_iq_utility3,25814747,1,0,0,1,0
dplugin_theseus_iq_utility3,25814748,3,0,0,1,1
dplugin_theseus_iq_utility1,25814751,2,0,1,1,0
dplugin_theseus_iq_utility2,25814767,16,1,0,0,0
dplugin_theseus_iq_utility2,25814781,14,1,0,1,0
dplugin_theseus_iq_utility1,25814783,1,0,1,1,0
dplugin_theseus_iq_utility3,25814784,1,0,0,1,0
dplugin_theseus_iq_utility3,25814802,1,0,0,1,0
dplugin_theseus_iq_utility1,25814804,1,0,1,1,0
dplugin_theseus_iq_utility0,25814808,7,1,1,0,0
dplugin_theseus_iq_utility2,25814821,1,1,0,1,0
dplugin_theseus_iq_utility3,25814822,5,0,0,1,0
dplugin_theseus_iq_utility0,25814825,1,1,1,1,0
dplugin_theseus_iq_utility2,25814832,1,1,0,1,0
dplugin_theseus_iq_utility3,25814836,1,0,0,1,0
dplugin_theseus_iq_utility0,25814854,2,1,1,1,0
dplugin_theseus_iq_utility1,25814855,1,0,1,1,0
dplugin_theseus_iq_utility3,25814860,5,0,0,1,0
dplugin_theseus_iq_utility2,25814870,1,1,0,1,0
dplugin_theseus_iq_utility0,25814874,3,1,1,1,1
dplugin_theseus_iq_utility1,25814882,2,0,1,1,0
dplugin_theseus_iq_utility3,25814887,75,0,0,1,0
dplugin_theseus_iq_utility2,25814888,3,1,0,1,0
dplugin_theseus_iq_utility2,25814892,2,1,0,1,0
dplugin_theseus_iq_utility3,25814894,1,0,0,1,0
dplugin_theseus_iq_utility1,25814896,2,0,1,0,0
dplugin_theseus_iq_utility1,25814904,1,0,1,1,0
dplugin_theseus_iq_utility3,25814906,2,0,0,1,0
dplugin_theseus_iq_utility0,25814907,1,1,1,1,0
dplugin_theseus_iq_utility0,25814914,4,1,1,1,1
dplugin_theseus_iq_utility2,25814921,1,1,0,1,0
dplugin_theseus_iq_utility3,25814929,2,0,0,1,0
dplugin_theseus_iq_utility0,25814938,64,1,1,1,0
dplugin_theseus_iq_utility3,25814947,1,0,0,1,0
dplugin_theseus_iq_utility3,25814950,18,0,0,1,1
dplugin_theseus_iq_utility3,25814952,5,0,0,1,0
dplugin_theseus_iq_utility2,25814955,2,1,0,1,0
dplugin_theseus_iq_utility1,25814959,18,0,1,1,1
dplugin_theseus_iq_utility2,25814962,18,1,0,1,0
dplugin_theseus_iq_utility2,25814964,1,1,0,1,0
dplugin_theseus_iq_utility3,25814970,3,0,0,1,0
dplugin_theseus_iq_utility3,25814975,1,0,0,1,0
dplugin_theseus_iq_utility1,25814982,4,0,1,1,0
dplugin_theseus_iq_utility2,25814992,5,1,0,1,0
dplugin_theseus_iq_utility2,25814999,4,1,0,1,0
dplugin_theseus_iq_utility1,25815002,6,0,1,1,1
dplugin_theseus_iq_utility1,25815009,2,0,1,1,0
dplugin_theseus_iq_utility3,25815011,1,0,0,1,0
dplugin_theseus_iq_utility3,25815012,5,0,0,1,1
dplugin_theseus_iq_utility3,25815020,2,0,0,1,0
dplugin_theseus_iq_utility1,25815023,2,0,1,1,0
dplugin_theseus_iq_utility3,25815046,1,0,0,1,0
dplugin_theseus_iq_utility0,25815071,1,1,1,1,0
dplugin_theseus_iq_utility1,25815073,1,0,1,1,0
dplugin_theseus_iq_utility3,25815082,1,0,0,1,0
dplugin_theseus_iq_utility0,25815089,1,1,1,1,0
dplugin_theseus_iq_utility3,25815103,9,0,0,0,0
dplugin_theseus_iq_utility1,25815107,2,0,1,1,0
dplugin_theseus_iq_utility2,25815109,1,1,0,1,0
dplugin_theseus_iq_utility1,25815110,1,0,1,1,0
dplugin_theseus_iq_utility0,25815116,1,1,1,1,0
dplugin_theseus_iq_utility2,25815121,2,1,0,1,0
dplugin_theseus_iq_utility1,25815124,5,0,1,1,1
dplugin_theseus_iq_utility0,25815130,1,1,1,1,0
dplugin_theseus_iq_utility0,25815131,6,1,1,1,0
dplugin_theseus_iq_utility2,25815136,4,1,0,1,0
dplugin_theseus_iq_utility3,25815139,3,0,0,1,1
dplugin_theseus_iq_utility0,25815142,3,1,1,1,0
dplugin_theseus_iq_utility1,25815148,1,0,1,0,0
dplugin_theseus_iq_utility3,25815150,4,0,0,1,1
dplugin_theseus_iq_utility3,25815155,6,0,0,1,0
dplugin_theseus_iq_utility0,25815159,5,1,1,1,1
dplugin_theseus_iq_utility3,25815160,2,0,0,1,1
dplugin_theseus_iq_utility0,25815165,4,1,1,1,1
dplugin_theseus_iq_utility0,25815169,2,1,1,1,1
dplugin_theseus_iq_utility2,25815170,4,1,0,1,0
dplugin_theseus_iq_utility2,25815174,1,1,0,1,0
dplugin_theseus_iq_utility0,25815178,4,1,1,1,0
dplugin_theseus_iq_utility0,25815181,3,1,1,1,0
dplugin_theseus_iq_utility0,25815182,1,1,1,0,0
dplugin_theseus_iq_utility1,25815185,1,0,1,1,0
dplugin_theseus_iq_utility1,25815189,1,0,1,1,0
dplugin_theseus_iq_utility1,25815201,2,0,1,1,1
dplugin_theseus_iq_utility2,25815214,1,1,0,1,0
dplugin_theseus_iq_utility3,25815217,22,0,0,1,0
dplugin_theseus_iq_utility3,25815218,1,0,0,1,0
dplugin_theseus_iq_utility2,25815226,7,1,0,1,0
dplugin_theseus_iq_utility0,25815235,12,1,1,1,0
dplugin_theseus_iq_utility3,25815243,6,0,0,1,0
dplugin_theseus_iq_utility2,25815245,16,1,0,1,0
dplugin_theseus_iq_utility0,25815257,3,1,1,1,0
dplugin_theseus_iq_utility1,25815260,5,0,1,1,1
dplugin_theseus_iq_utility2,25815265,1,1,0,1,0
dplugin_theseus_iq_utility2,25815276,4,1,0,1,1
dplugin_theseus_iq_utility1,25815285,4,0,1,1,0
dplugin_theseus_iq_utility1,25815292,1,0,1,1,0
dplugin_theseus_iq_utility3,25815300,4,0,0,1,1
dplugin_theseus_iq_utility3,25815302,1,0,0,0,0
dplugin_theseus_iq_utility3,25815309,4,0,0,1,1
dplugin_theseus_iq_utility3,25815312,1,0,0,1,0
dplugin_theseus_iq_utility2,25815321,27,1,0,1,0
dplugin_theseus_iq_utility0,25815323,2,1,1,1,1
dplugin_theseus_iq_utility1,25815326,17,0,1,1,1
dplugin_theseus_iq_utility1,25815334,4,0,1,1,1
dplugin_theseus_iq_utility2,25815336,24,1,0,1,0
dplugin_theseus_iq_utility2,25815338,1,1,0,1,0
dplugin_theseus_iq_utility1,25815346,1,0,1,1,0
dplugin_theseus_iq_utility0,25815347,7,1,1,1,0
dplugin_theseus_iq_utility2,25815348,1,1,0,1,0
dplugin_theseus_iq_utility3,25815354,1,0,0,1,0
dplugin_theseus_iq_utility0,25815356,4,1,1,1,1
dplugin_theseus_iq_utility1,25815357,1,0,1,1,0
dplugin_theseus_iq_utility3,25815358,2,0,0,1,0
dplugin_theseus_iq_utility2,25815361,15,1,0,1,0
dplugin_theseus_iq_utility1,25815363,29,0,1,1,1
dplugin_theseus_iq_utility2,25815367,2,1,0,1,0
dplugin_theseus_iq_utility0,25815369,13,1,1,1,0
dplugin_theseus_iq_utility3,25815374,4,0,0,1,0
dplugin_theseus_iq_utility3,25815377,36,0,0,1,0
dplugin_theseus_iq_utility3,25815379,22,0,0,1,0
dplugin_theseus_iq_utility1,25815381,1,0,1,1,0
dplugin_theseus_iq_utility3,25815389,1,0,0,1,0
dplugin_theseus_iq_utility1,25815394,1,0,1,0,0
dplugin_theseus_iq_utility1,25815395,3,0,1,1,0
dplugin_theseus_iq_utility1,25815403,2,0,1,1,0
dplugin_theseus_iq_utility3,25815406,1,0,0,1,0
dplugin_theseus_iq_utility2,25815412,1,1,0,1,0
dplugin_theseus_iq_utility2,25815414,5,1,0,1,0
dplugin_theseus_iq_utility3,25815423,3,0,0,1,1
dplugin_theseus_iq_utility3,25815425,2,0,0,1,0
dplugin_theseus_iq_utility3,25815431,5,0,0,1,0
dplugin_theseus_iq_utility3,25815439,2,0,0,1,0
dplugin_theseus_iq_utility2,25815440,5,1,0,1,1
dplugin_theseus_iq_utility2,25815446,1,1,0,0,0
dplugin_theseus_iq_utility1,25815448,16,0,1,1,0
dplugin_theseus_iq_utility3,25815453,3,0,0,1,0
dplugin_theseus_iq_utility3,25815454,5,0,0,1,0
dplugin_theseus_iq_utility3,25815456,4,0,0,1,0
dplugin_theseus_iq_utility1,25815458,1,0,1,1,0
dplugin_theseus_iq_utility1,25815460,6,0,1,1,1
dplugin_theseus_iq_utility3,25815467,1,0,0,1,0
dplugin_theseus_iq_utility0,25815473,1,1,1,1,0
dplugin_theseus_iq_utility1,25815475,1,0,1,1,0
dplugin_theseus_iq_utility2,25815476,14,1,0,1,1
dplugin_theseus_iq_utility3,25815478,3,0,0,1,0
dplugin_theseus_iq_utility1,25815484,30,0,1,1,0
dplugin_theseus_iq_utility0,25815489,1,1,1,1,0
dplugin_theseus_iq_utility1,25815494,2,0,1,1,1
dplugin_theseus_iq_utility3,25815499,3,0,0,1,0
dplugin_theseus_iq_utility1,25815504,1,0,1,1,0
dplugin_theseus_iq_utility3,25815507,1,0,0,1,0
dplugin_theseus_iq_utility1,25815509,1,0,1,1,0
dplugin_theseus_iq_utility2,25815510,1,1,0,1,0
dplugin_theseus_iq_utility0,25815511,4,1,1,1,0
dplugin_theseus_iq_utility1,25815516,2,0,1,1,1
dplugin_theseus_iq_utility3,25815524,2,0,0,1,0
dplugin_theseus_iq_utility2,25815527,1,1,0,1,0
dplugin_theseus_iq_utility1,25815535,3,0,1,1,0
dplugin_theseus_iq_utility3,25815549,3,0,0,1,0
dplugin_theseus_iq_utility1,25815555,31,0,1,1,0
dplugin_theseus_iq_utility3,25815559,5,0,0,1,0
dplugin_theseus_iq_utility2,25815576,1,1,0,1,0
dplugin_theseus_iq_utility1,25815582,2,0,1,1,1
dplugin_theseus_iq_utility2,25815583,8,1,0,1,0
dplugin_theseus_iq_utility0,25815584,2,1,1,1,0
dplugin_theseus_iq_utility1,25815586,41,0,1,0,1
dplugin_theseus_iq_utility1,25815590,1,0,1,1,0
dplugin_theseus_iq_utility0,25815592,1,1,1,1,0
dplugin_theseus_iq_utility2,25815594,7,1,0,1,1
dplugin_theseus_iq_utility1,25815601,2,0,1,1,0
dplugin_theseus_iq_utility3,25815612,3,0,0,1,0
dplugin_theseus_iq_utility0,25815614,8,1,1,1,1
dplugin_theseus_iq_utility3,25815615,1,0,0,1,0
dplugin_theseus_iq_utility0,25815618,8,1,1,1,0
dplugin_theseus_iq_utility1,25815620,6,0,1,1,0
dplugin_theseus_iq_utility1,25815623,17,0,1,1,0
dplugin_theseus_iq_utility2,25815624,4,1,0,1,1
dplugin_theseus_iq_utility0,25815630,6,1,1,0,1
dplugin_theseus_iq_utility0,25815639,4,1,1,1,1
dplugin_theseus_iq_utility0,25815641,4,1,1,1,0
dplugin_theseus_iq_utility0,25815642,1,1,1,1,1
dplugin_theseus_iq_utility3,25815647,5,0,0,0,0
dplugin_theseus_iq_utility0,25815648,1,1,1,1,0
dplugin_theseus_iq_utility1,25815653,5,0,1,1,0
dplugin_theseus_iq_utility2,25815659,1,1,0,0,0
dplugin_theseus_iq_utility0,25815677,12,1,1,1,0
dplugin_theseus_iq_utility2,25815686,1,1,0,1,0
dplugin_theseus_iq_utility2,25815690,4,1,0,1,0
dplugin_theseus_iq_utility0,25815691,1,1,1,1,0
dplugin_theseus_iq_utility3,25815693,1,0,0,1,0
dplugin_theseus_iq_utility2,25815694,5,1,0,1,0
dplugin_theseus_iq_utility2,25815695,1,1,0,1,1
dplugin_theseus_iq_utility3,25815696,1,0,0,1,0
dplugin_theseus_iq_utility2,25815699,4,1,0,1,0
dplugin_theseus_iq_utility3,25815702,15,0,0,1,0
dplugin_theseus_iq_utility1,25815704,2,0,1,1,0
dplugin_theseus_iq_utility3,25815710,17,0,0,1,1
dplugin_theseus_iq_utility2,25815717,4,1,0,1,0
dplugin_theseus_iq_utility2,25815729,6,1,0,0,0
dplugin_theseus_iq_utility3,25815731,1,0,0,1,0
dplugin_theseus_iq_utility1,25815742,2,0,1,1,0
dplugin_theseus_iq_utility3,25815744,1,0,0,1,0
dplugin_theseus_iq_utility3,25815745,4,0,0,1,1
dplugin_theseus_iq_utility3,25815748,2,0,0,1,0
dplugin_theseus_iq_utility1,25815755,2,0,1,1,0
dplugin_theseus_iq_utility1,25815758,1,0,1,1,0
dplugin_theseus_iq_utility2,25815767,1,1,0,1,0
dplugin_theseus_iq_utility2,25815779,1,1,0,0,0
dplugin_theseus_iq_utility0,25815787,1,1,1,1,0
dplugin_theseus_iq_utility3,25815791,7,0,0,1,0
dplugin_theseus_iq_utility2,25815803,5,1,0,1,0
dplugin_theseus_iq_utility0,25815808,23,1,1,1,0
dplugin_theseus_iq_utility2,25815810,1,1,0,1,0
dplugin_theseus_iq_utility0,25815815,1,1,1,1,0
dplugin_theseus_iq_utility1,25815828,1,0,1,0,0
dplugin_theseus_iq_utility3,25815837,7,0,0,1,1
dplugin_theseus_iq_utility1,25815846,4,0,1,1,0
dplugin_theseus_iq_utility2,25815847,13,1,0,1,0
dplugin_theseus_iq_utility1,25815854,4,0,1,1,1
dplugin_theseus_iq_utility2,25815868,1,1,0,1,0
dplugin_theseus_iq_utility3,25815877,1,0,0,1,0
dplugin_theseus_iq_utility3,25815879,2,0,0,1,0
dplugin_theseus_iq_utility3,25815883,2,0,0,1,0
dplugin_theseus_iq_utility3,25815891,7,0,0,0,0
dplugin_theseus_iq_utility0,25815894,1,1,1,0,0
dplugin_theseus_iq_utility2,25815895,3,1,0,1,0
dplugin_theseus_iq_utility2,25815897,1,1,0,0,0
dplugin_theseus_iq_utility3,25815925,18,0,0,1,0
dplugin_theseus_iq_utility2,25815927,8,1,0,0,0
dplugin_theseus_iq_utility0,25815932,1,1,1,1,0
dplugin_theseus_iq_utility0,25815936,1,1,1,1,0
dplugin_theseus_iq_utility0,25815943,1,1,1,1,0
dplugin_theseus_iq_utility2,25815961,4,1,0,1,0
dplugin_theseus_iq_utility2,25815962,2,1,0,1,0
dplugin_theseus_iq_utility1,25815975,3,0,1,1,1
dplugin_theseus_iq_utility1,25815980,1,0,1,1,0
dplugin_theseus_iq_utility2,25815987,1,1,0,1,0
dplugin_theseus_iq_utility3,25815991,2,0,0,0,0
dplugin_theseus_iq_utility2,25815992,1,1,0,1,0
dplugin_theseus_iq_utility0,25815998,1,1,1,1,0
